0,1,acquaintance,2
0,286,colleague,30
0,287,colleague,81
0,288,acquaintance,24
0,289,acquaintance,85
0,290,acquaintance,44
0,291,family,36
0,292,family,10
0,293,friend,85
0,294,family,25
0,295,family,38
0,296,family,60
0,297,friend,99
0,298,friend,91
0,299,family,86
0,300,family,40
0,301,family,36
0,302,colleague,71
0,303,acquaintance,77
0,304,friend,62
0,305,family,58
0,306,acquaintance,53
0,307,friend,21
0,308,acquaintance,11
0,309,acquaintance,88
0,310,friend,55
0,311,acquaintance,88
0,312,family,79
0,313,colleague,95
0,314,family,48
0,315,friend,32
0,316,family,25
0,317,acquaintance,7
0,318,friend,50
0,319,colleague,14
0,320,acquaintance,80
0,321,colleague,90
0,322,colleague,25
0,323,acquaintance,40
0,324,acquaintance,71
0,325,family,92
0,326,colleague,36
0,327,acquaintance,59
0,328,friend,75
0,329,acquaintance,23
0,330,acquaintance,94
0,331,family,87
0,332,friend,65
0,333,acquaintance,9
0,334,family,14
0,335,acquaintance,10
0,336,friend,19
0,337,friend,88
0,338,colleague,28
0,339,acquaintance,49
0,340,friend,51
0,341,acquaintance,18
0,342,friend,41
0,343,friend,7
0,344,friend,15
0,345,family,43
0,346,acquaintance,47
0,347,family,47
1,48,family,69
1,53,acquaintance,57
1,54,family,5
1,73,family,97
1,88,colleague,19
1,92,friend,63
1,119,family,89
1,126,friend,44
1,133,acquaintance,4
1,194,family,85
1,236,family,38
1,280,friend,27
1,299,acquaintance,61
1,315,acquaintance,88
1,322,colleague,22
1,346,family,10
2,20,colleague,82
2,115,acquaintance,66
2,116,acquaintance,50
2,149,friend,96
2,226,friend,49
2,312,colleague,69
2,326,family,90
2,333,colleague,7
2,343,family,25
3,9,acquaintance,9
3,25,friend,89
3,26,friend,40
3,67,colleague,96
3,72,family,39
3,85,friend,76
3,122,acquaintance,66
3,142,colleague,11
3,170,family,77
3,188,colleague,7
3,200,friend,46
3,228,friend,80
3,274,family,61
3,280,friend,100
3,283,friend,97
3,323,colleague,59
4,78,family,59
4,152,friend,17
4,181,friend,98
4,195,friend,62
4,218,colleague,23
4,273,colleague,2
4,275,acquaintance,70
4,306,colleague,90
4,328,colleague,39
5,87,colleague,40
5,122,friend,46
5,156,acquaintance,94
5,158,acquaintance,13
5,169,family,1
5,180,acquaintance,93
5,187,friend,11
5,204,friend,57
5,213,friend,3
5,235,acquaintance,35
5,315,family,11
5,316,friend,23
6,89,colleague,16
6,95,colleague,57
6,147,friend,47
6,219,colleague,44
6,319,acquaintance,24
7,22,colleague,6
7,31,acquaintance,72
7,38,colleague,44
7,65,acquaintance,3
7,87,friend,20
7,103,colleague,45
7,129,colleague,99
7,136,family,95
7,168,family,29
7,213,acquaintance,79
7,246,colleague,84
7,291,friend,51
7,304,family,17
7,308,friend,71
7,315,family,44
7,322,friend,2
7,339,colleague,33
7,340,family,12
7,347,colleague,83
8,91,family,45
8,110,acquaintance,69
8,193,acquaintance,2
8,201,family,62
8,245,family,75
8,259,friend,67
8,264,family,19
9,21,family,58
9,25,colleague,87
9,26,colleague,56
9,30,family,21
9,56,acquaintance,41
9,66,colleague,93
9,67,acquaintance,81
9,69,family,97
9,72,colleague,35
9,75,friend,86
9,79,acquaintance,43
9,85,family,62
9,105,acquaintance,10
9,113,family,10
9,119,family,15
9,122,family,75
9,128,friend,35
9,133,family,100
9,134,acquaintance,94
9,141,family,23
9,142,family,37
9,148,colleague,57
9,156,colleague,52
9,161,colleague,87
9,169,acquaintance,32
9,170,colleague,91
9,176,family,92
9,185,acquaintance,5
9,186,acquaintance,53
9,188,family,45
9,199,colleague,32
9,200,colleague,64
9,203,friend,65
9,224,family,7
9,231,friend,63
9,232,acquaintance,8
9,252,friend,36
9,258,colleague,100
9,271,acquaintance,6
9,272,family,33
9,276,family,63
9,277,family,52
9,280,acquaintance,51
9,285,friend,29
9,291,friend,1
9,295,family,85
9,297,colleague,17
9,304,family,58
9,315,colleague,71
9,322,colleague,18
9,323,family,44
9,329,acquaintance,3
9,334,friend,23
9,341,acquaintance,37
9,342,family,16
10,67,acquaintance,73
10,142,family,96
10,169,family,54
10,200,family,86
10,277,friend,66
10,285,colleague,1
10,291,acquaintance,65
10,323,acquaintance,51
10,332,colleague,6
13,21,colleague,3
13,26,acquaintance,99
13,56,friend,18
13,59,friend,14
13,65,colleague,77
13,67,family,82
13,82,friend,53
13,98,acquaintance,60
13,109,friend,91
13,118,acquaintance,26
13,119,family,68
13,148,friend,92
13,172,friend,23
13,188,friend,63
13,199,acquaintance,26
13,211,acquaintance,12
13,223,friend,40
13,236,colleague,60
13,238,colleague,44
13,239,family,46
13,252,family,40
13,261,acquaintance,99
13,265,colleague,16
13,271,family,76
13,277,friend,26
13,304,family,87
13,313,friend,99
13,325,family,43
13,332,acquaintance,73
13,342,family,80
14,20,acquaintance,19
14,28,family,18
14,41,colleague,25
14,115,family,69
14,116,colleague,81
14,144,family,61
14,149,family,12
14,151,acquaintance,7
14,214,family,71
14,226,acquaintance,96
14,310,acquaintance,32
14,312,colleague,79
14,326,colleague,54
14,343,friend,53
16,29,colleague,68
16,82,colleague,34
16,118,colleague,30
16,172,friend,42
16,261,friend,4
16,329,friend,43
16,331,acquaintance,66
16,332,acquaintance,26
17,19,colleague,34
17,41,family,9
17,111,friend,64
17,115,acquaintance,40
17,116,acquaintance,39
17,137,colleague,58
17,140,friend,91
17,144,colleague,29
17,214,acquaintance,39
17,310,friend,72
17,312,family,17
17,326,colleague,18
19,41,acquaintance,11
19,89,colleague,41
19,112,colleague,4
19,115,acquaintance,42
19,138,acquaintance,29
19,174,colleague,12
19,175,family,59
19,214,colleague,43
19,227,family,58
19,289,family,32
19,293,acquaintance,44
19,312,colleague,52
19,319,colleague,48
19,343,colleague,61
20,41,family,62
20,44,family,71
20,111,friend,41
20,115,colleague,94
20,149,acquaintance,75
20,162,acquaintance,45
20,214,colleague,8
20,226,friend,64
20,312,colleague,45
20,326,family,11
20,333,friend,91
20,343,family,14
21,25,acquaintance,29
21,26,colleague,68
21,31,family,91
21,39,family,78
21,40,acquaintance,72
21,55,acquaintance,77
21,56,friend,84
21,66,friend,89
21,67,colleague,94
21,88,family,52
21,98,acquaintance,73
21,104,colleague,19
21,105,family,37
21,108,colleague,20
21,109,friend,84
21,119,friend,76
21,121,acquaintance,92
21,122,friend,11
21,123,family,63
21,127,friend,76
21,134,colleague,41
21,136,friend,11
21,142,colleague,92
21,159,acquaintance,6
21,161,friend,5
21,165,family,76
21,169,family,18
21,170,friend,37
21,184,colleague,10
21,186,acquaintance,47
21,188,family,25
21,197,acquaintance,40
21,200,colleague,51
21,203,family,99
21,212,family,27
21,223,colleague,58
21,232,acquaintance,32
21,235,family,12
21,236,colleague,66
21,239,colleague,42
21,248,family,25
21,251,friend,93
21,252,acquaintance,71
21,271,family,74
21,272,acquaintance,34
21,274,acquaintance,63
21,277,family,52
21,280,friend,16
21,281,colleague,21
21,284,colleague,65
21,297,acquaintance,21
21,304,friend,95
21,308,family,8
21,313,acquaintance,31
21,315,friend,8
21,322,family,78
21,323,colleague,77
21,325,friend,79
21,332,family,36
21,334,family,26
21,342,colleague,64
21,345,acquaintance,67
22,87,family,54
22,158,family,35
22,168,family,80
22,185,acquaintance,24
22,277,colleague,68
22,308,acquaintance,85
22,324,family,30
22,339,acquaintance,13
22,347,colleague,38
23,51,colleague,6
23,61,acquaintance,43
23,83,friend,7
23,99,colleague,42
23,116,family,95
23,124,acquaintance,73
23,144,friend,29
23,155,friend,35
23,175,friend,4
23,190,colleague,6
23,227,friend,21
23,230,family,75
23,237,acquaintance,25
23,240,acquaintance,54
23,245,friend,82
23,267,friend,74
24,53,family,43
24,57,family,34
24,80,colleague,13
24,92,acquaintance,15
24,94,friend,9
24,101,family,66
24,180,friend,47
24,187,friend,46
24,194,family,43
24,242,colleague,67
24,249,friend,89
24,266,friend,15
24,299,friend,49
24,302,friend,61
24,346,colleague,79
25,26,acquaintance,19
25,31,friend,57
25,39,colleague,17
25,40,acquaintance,79
25,51,colleague,28
25,56,friend,56
25,65,colleague,43
25,67,acquaintance,85
25,69,friend,8
25,72,colleague,18
25,73,acquaintance,89
25,76,friend,20
25,79,colleague,35
25,83,acquaintance,44
25,84,colleague,39
25,88,colleague,52
25,94,family,46
25,98,friend,12
25,103,family,30
25,104,friend,84
25,105,friend,17
25,113,acquaintance,12
25,119,acquaintance,12
25,122,colleague,96
25,130,colleague,64
25,141,acquaintance,9
25,148,acquaintance,93
25,158,friend,31
25,169,colleague,39
25,170,friend,75
25,176,colleague,10
25,185,acquaintance,70
25,186,acquaintance,43
25,188,colleague,90
25,199,acquaintance,87
25,200,acquaintance,76
25,203,friend,25
25,221,colleague,79
25,224,family,95
25,231,friend,75
25,232,colleague,13
25,236,friend,93
25,237,colleague,56
25,239,family,42
25,246,family,71
25,252,acquaintance,35
25,257,friend,48
25,270,acquaintance,57
25,271,acquaintance,11
25,272,family,54
25,276,friend,20
25,277,acquaintance,78
25,280,acquaintance,4
25,283,colleague,25
25,285,friend,19
25,288,colleague,32
25,290,acquaintance,45
25,291,acquaintance,33
25,297,acquaintance,31
25,322,colleague,53
25,323,friend,72
25,325,colleague,4
25,331,friend,92
25,332,family,15
25,336,family,30
26,40,family,54
26,55,family,50
26,56,acquaintance,48
26,62,friend,19
26,66,colleague,54
26,67,colleague,86
26,69,colleague,76
26,72,friend,51
26,79,friend,55
26,98,family,56
26,104,friend,30
26,109,family,26
26,113,colleague,38
26,118,colleague,44
26,119,colleague,54
26,122,friend,14
26,123,family,21
26,128,acquaintance,63
26,133,family,36
26,134,family,23
26,141,family,90
26,142,friend,14
26,158,family,46
26,161,family,37
26,169,acquaintance,82
26,170,friend,63
26,172,family,17
26,176,friend,74
26,185,friend,86
26,186,friend,27
26,188,colleague,32
26,199,family,94
26,200,friend,32
26,203,acquaintance,40
26,212,family,9
26,223,family,19
26,224,acquaintance,23
26,232,colleague,99
26,236,acquaintance,3
26,239,acquaintance,37
26,248,family,88
26,252,acquaintance,81
26,257,family,70
26,265,family,16
26,271,family,85
26,276,colleague,12
26,277,colleague,10
26,280,family,99
26,285,friend,16
26,291,acquaintance,93
26,295,family,61
26,297,colleague,22
26,298,family,33
26,304,family,18
26,308,colleague,3
26,313,family,35
26,315,friend,33
26,322,friend,94
26,323,acquaintance,89
26,325,friend,17
26,332,friend,95
26,334,acquaintance,48
27,54,acquaintance,96
27,119,colleague,65
27,324,acquaintance,61
27,329,colleague,65
28,41,acquaintance,100
28,115,family,14
28,116,friend,44
28,140,family,58
28,144,friend,88
28,149,friend,52
28,151,family,81
28,226,colleague,35
28,310,acquaintance,64
28,312,colleague,66
28,326,family,52
29,40,friend,39
29,82,colleague,85
29,106,friend,22
29,118,acquaintance,91
29,172,acquaintance,68
29,203,friend,19
29,211,colleague,1
29,231,acquaintance,17
29,247,colleague,66
29,252,acquaintance,37
29,338,family,60
30,48,friend,53
30,56,friend,80
30,73,colleague,78
30,178,family,17
30,188,family,97
30,200,acquaintance,82
30,213,acquaintance,100
30,224,family,52
30,236,friend,44
30,271,acquaintance,83
30,303,friend,69
30,304,friend,11
30,322,colleague,64
30,329,acquaintance,60
30,331,friend,35
31,51,family,28
31,67,acquaintance,26
31,83,colleague,66
31,84,friend,37
31,109,family,46
31,122,acquaintance,55
31,129,family,45
31,142,friend,64
31,168,colleague,34
31,200,friend,67
31,237,friend,13
31,252,acquaintance,28
31,277,colleague,37
31,280,acquaintance,41
31,291,family,94
31,304,family,47
31,308,acquaintance,95
31,338,friend,15
31,339,family,13
32,93,acquaintance,24
32,137,acquaintance,7
32,167,acquaintance,50
32,310,colleague,14
32,337,acquaintance,66
33,42,colleague,94
34,173,acquaintance,66
34,348,family,9
34,414,colleague,24
34,428,friend,90
35,143,acquaintance,18
36,108,friend,24
36,127,acquaintance,1
36,135,colleague,16
36,184,acquaintance,66
36,197,acquaintance,90
36,251,family,60
36,281,colleague,26
36,284,colleague,42
36,309,colleague,99
36,320,family,14
38,117,friend,75
38,141,colleague,96
38,178,colleague,37
38,248,colleague,69
38,322,colleague,68
38,332,family,55
38,339,colleague,15
39,69,friend,57
39,105,family,65
39,119,colleague,95
39,121,acquaintance,44
39,141,family,74
39,161,family,93
39,165,friend,92
39,200,friend,23
39,257,colleague,97
39,277,family,24
39,280,friend,78
39,313,friend,39
40,56,acquaintance,24
40,67,colleague,67
40,72,friend,4
40,77,family,38
40,113,family,65
40,132,acquaintance,57
40,133,colleague,2
40,141,colleague,23
40,142,acquaintance,79
40,158,acquaintance,12
40,169,family,5
40,172,colleague,80
40,199,family,87
40,200,family,47
40,203,colleague,45
40,212,acquaintance,78
40,213,colleague,62
40,224,friend,80
40,231,family,82
40,232,colleague,84
40,239,family,52
40,257,colleague,22
40,258,colleague,60
40,265,friend,35
40,271,acquaintance,54
40,272,family,57
40,274,friend,73
40,277,family,58
40,280,family,33
40,298,friend,30
40,304,colleague,49
40,307,colleague,48
40,315,acquaintance,82
40,317,acquaintance,58
40,322,family,73
40,325,friend,71
40,329,family,67
40,332,friend,67
40,334,family,73
41,44,family,52
41,93,colleague,48
41,111,family,2
41,115,friend,24
41,116,acquaintance,21
41,137,acquaintance,39
41,140,family,39
41,144,family,55
41,151,colleague,53
41,214,acquaintance,58
41,226,colleague,44
41,230,family,42
41,243,friend,30
41,310,family,18
41,312,family,66
41,326,acquaintance,2
41,337,family,53
41,343,colleague,74
44,111,friend,58
44,312,acquaintance,20
44,343,friend,41
45,67,acquaintance,10
45,104,colleague,35
45,122,family,47
45,132,family,10
45,142,colleague,54
45,186,colleague,32
45,200,friend,33
45,221,friend,51
45,303,friend,23
45,322,family,81
45,345,family,19
46,143,family,31
46,175,friend,68
46,177,family,32
46,278,friend,24
47,301,friend,61
48,53,colleague,55
48,54,friend,98
48,57,family,97
48,73,family,50
48,80,family,75
48,88,family,92
48,119,acquaintance,94
48,126,family,64
48,130,friend,58
48,180,colleague,40
48,199,friend,78
48,203,colleague,9
48,271,family,7
48,299,friend,44
48,302,friend,96
48,320,acquaintance,35
48,322,friend,41
48,330,acquaintance,60
48,332,colleague,11
49,192,acquaintance,23
49,241,colleague,36
49,255,friend,59
50,109,family,83
50,113,colleague,44
50,119,acquaintance,82
50,146,friend,16
50,148,acquaintance,58
50,203,friend,42
50,277,friend,35
50,314,acquaintance,88
50,331,friend,75
50,334,friend,69
51,83,family,94
51,84,colleague,22
51,237,colleague,36
52,192,colleague,100
53,54,family,19
53,88,acquaintance,16
53,92,family,80
53,94,colleague,58
53,101,colleague,69
53,130,friend,49
53,146,friend,79
53,180,acquaintance,29
53,191,colleague,25
53,194,family,92
53,196,acquaintance,11
53,204,family,61
53,213,colleague,77
53,242,colleague,28
53,248,acquaintance,73
53,249,family,20
53,254,friend,60
53,260,acquaintance,65
53,266,colleague,73
53,299,acquaintance,4
53,302,friend,91
53,315,family,28
53,317,friend,39
53,322,colleague,99
53,330,family,41
53,332,colleague,7
53,346,acquaintance,66
54,119,colleague,28
54,313,acquaintance,76
54,329,family,32
55,56,colleague,47
55,67,friend,93
55,104,colleague,59
55,122,family,96
55,123,friend,23
55,170,family,1
55,185,colleague,33
55,186,colleague,92
55,200,colleague,38
55,203,acquaintance,63
55,239,acquaintance,51
55,252,family,4
55,261,family,84
55,277,colleague,34
56,59,family,35
56,60,acquaintance,37
56,62,family,18
56,63,acquaintance,93
56,66,family,97
56,67,colleague,65
56,72,colleague,62
56,75,colleague,23
56,82,friend,58
56,88,acquaintance,64
56,98,friend,81
56,103,family,60
56,104,colleague,93
56,109,colleague,38
56,113,colleague,45
56,118,colleague,98
56,119,acquaintance,42
56,122,family,4
56,128,family,39
56,132,acquaintance,40
56,134,colleague,62
56,136,colleague,89
56,141,acquaintance,39
56,142,acquaintance,64
56,161,acquaintance,33
56,169,colleague,86
56,170,acquaintance,71
56,172,family,84
56,185,acquaintance,6
56,186,acquaintance,70
56,188,colleague,87
56,199,colleague,75
56,200,friend,53
56,203,acquaintance,9
56,207,acquaintance,34
56,211,colleague,35
56,212,colleague,44
56,213,family,15
56,221,friend,74
56,222,friend,44
56,223,friend,32
56,231,friend,89
56,232,colleague,6
56,238,family,30
56,239,friend,64
56,252,colleague,3
56,261,acquaintance,93
56,265,acquaintance,76
56,271,family,18
56,272,family,5
56,276,colleague,75
56,277,colleague,76
56,285,acquaintance,38
56,290,acquaintance,61
56,291,family,64
56,297,colleague,12
56,298,friend,13
56,303,family,11
56,304,family,61
56,313,friend,32
56,315,acquaintance,90
56,322,family,53
56,323,acquaintance,55
56,325,friend,58
56,331,family,5
56,332,friend,44
56,334,acquaintance,60
56,341,family,8
56,342,colleague,25
57,80,acquaintance,35
57,92,acquaintance,1
57,108,family,43
57,184,acquaintance,64
57,204,colleague,99
57,213,friend,82
57,242,family,33
57,249,friend,30
57,277,family,12
57,302,friend,28
57,320,colleague,97
57,346,friend,98
58,107,friend,40
58,171,acquaintance,72
58,269,colleague,83
58,1684,colleague,9
58,1912,acquaintance,42
58,2814,acquaintance,18
58,2838,family,64
58,2885,colleague,41
58,3003,colleague,59
58,3173,family,69
58,3290,colleague,79
59,82,colleague,55
59,98,friend,73
59,118,friend,94
59,172,friend,38
59,186,colleague,63
59,203,colleague,71
59,211,acquaintance,76
59,238,colleague,72
59,239,colleague,40
59,250,colleague,61
59,252,acquaintance,91
59,261,colleague,9
59,268,acquaintance,98
59,271,friend,37
59,325,acquaintance,62
59,342,colleague,57
60,158,family,39
60,239,family,84
60,285,family,79
60,291,friend,25
60,313,friend,66
60,322,friend,57
61,193,family,13
62,67,family,43
62,96,colleague,84
62,98,colleague,87
62,122,colleague,45
62,130,family,41
62,133,friend,94
62,141,friend,37
62,142,family,34
62,161,acquaintance,57
62,170,acquaintance,89
62,186,friend,22
62,199,colleague,63
62,200,acquaintance,48
62,223,friend,89
62,224,acquaintance,18
62,236,friend,28
62,239,colleague,41
62,261,colleague,60
62,276,friend,50
62,318,friend,60
62,322,friend,89
62,323,family,30
62,341,family,76
63,261,friend,9
63,271,colleague,30
63,313,colleague,54
63,342,family,7
64,100,colleague,47
64,119,friend,33
64,150,colleague,100
64,171,friend,31
64,189,family,11
64,217,friend,89
65,82,acquaintance,95
65,118,family,92
65,203,acquaintance,13
65,252,colleague,34
65,261,family,47
65,297,acquaintance,30
65,314,colleague,16
65,339,friend,50
66,67,family,71
66,113,acquaintance,92
66,122,friend,22
66,134,acquaintance,87
66,142,friend,53
66,239,colleague,17
66,252,friend,1
66,304,colleague,54
66,308,family,74
66,334,colleague,81
67,69,friend,100
67,72,family,4
67,75,colleague,73
67,79,family,4
67,82,friend,48
67,98,family,24
67,104,friend,89
67,109,colleague,22
67,113,friend,74
67,118,family,88
67,119,friend,22
67,122,colleague,11
67,123,colleague,94
67,128,acquaintance,73
67,134,colleague,46
67,136,friend,65
67,141,family,50
67,142,family,91
67,156,acquaintance,49
67,158,colleague,77
67,161,friend,69
67,169,colleague,46
67,170,colleague,47
67,185,family,3
67,186,colleague,47
67,188,colleague,80
67,196,friend,74
67,199,family,35
67,200,acquaintance,41
67,203,acquaintance,23
67,212,friend,38
67,213,acquaintance,49
67,223,colleague,91
67,224,acquaintance,45
67,236,friend,10
67,239,friend,80
67,248,acquaintance,75
67,252,acquaintance,31
67,261,colleague,62
67,265,friend,39
67,271,friend,61
67,272,friend,59
67,277,acquaintance,64
67,280,family,88
67,285,acquaintance,57
67,290,colleague,28
67,297,colleague,28
67,303,family,23
67,304,colleague,64
67,308,acquaintance,33
67,313,family,86
67,315,family,3
67,322,acquaintance,94
67,323,acquaintance,57
67,324,family,66
67,325,acquaintance,16
67,332,friend,90
67,334,friend,66
67,342,family,16
67,344,friend,57
67,345,family,48
68,99,friend,35
68,143,friend,72
68,175,acquaintance,12
68,177,friend,1
68,225,friend,28
68,227,family,9
68,263,acquaintance,53
68,296,friend,57
69,105,acquaintance,10
69,121,colleague,42
69,236,acquaintance,64
69,304,colleague,93
70,230,acquaintance,25
71,230,acquaintance,36
71,307,family,32
72,113,family,76
72,132,family,40
72,141,friend,46
72,165,acquaintance,24
72,172,colleague,11
72,199,friend,31
72,200,colleague,48
72,212,friend,36
72,232,family,46
72,239,friend,46
72,252,acquaintance,47
72,271,family,98
72,272,friend,31
72,291,friend,69
72,298,colleague,88
72,329,acquaintance,59
73,88,family,93
73,126,acquaintance,51
73,130,colleague,60
73,299,friend,82
73,331,friend,42
75,85,colleague,58
75,170,colleague,3
75,188,friend,38
75,200,acquaintance,54
75,258,friend,23
75,272,acquaintance,76
75,274,acquaintance,88
75,304,acquaintance,12
75,322,colleague,83
75,323,friend,64
76,270,family,84
77,117,friend,60
77,231,friend,41
77,294,family,8
77,332,friend,30
78,181,acquaintance,7
78,195,friend,73
78,218,friend,14
78,273,acquaintance,79
78,275,acquaintance,54
78,306,acquaintance,27
78,328,acquaintance,9
79,119,colleague,57
79,185,acquaintance,70
79,188,colleague,58
79,200,acquaintance,21
79,252,colleague,56
79,271,acquaintance,45
79,272,acquaintance,40
80,88,acquaintance,89
80,92,family,97
80,94,friend,54
80,101,acquaintance,86
80,173,family,47
80,180,colleague,1
80,187,colleague,99
80,194,acquaintance,84
80,204,family,38
80,213,family,55
80,242,colleague,92
80,249,friend,36
80,266,family,31
80,299,friend,95
80,300,colleague,21
80,315,acquaintance,93
80,320,family,74
80,330,family,64
80,346,acquaintance,24
81,269,acquaintance,44
81,286,acquaintance,53
82,84,acquaintance,45
82,98,acquaintance,1
82,118,family,70
82,119,family,15
82,121,acquaintance,89
82,123,family,55
82,148,family,100
82,158,friend,23
82,169,family,45
82,170,friend,16
82,172,colleague,60
82,199,colleague,68
82,203,colleague,22
82,211,acquaintance,6
82,222,acquaintance,17
82,231,acquaintance,5
82,238,friend,12
82,252,friend,72
82,261,colleague,95
82,268,friend,18
82,271,colleague,9
82,313,acquaintance,64
82,314,acquaintance,16
82,318,colleague,77
82,325,acquaintance,43
82,331,friend,2
83,84,friend,87
83,237,acquaintance,71
84,224,family,30
84,236,friend,23
84,237,family,75
84,265,acquaintance,92
84,276,friend,70
84,304,colleague,69
84,313,colleague,76
85,156,colleague,94
85,170,family,2
85,176,acquaintance,2
85,188,acquaintance,95
85,258,colleague,50
85,271,acquaintance,61
85,272,family,28
